0,-1,-1,2l,-1,-1,-1,3r,-1,-1,-1,-1,-1,0.5u,-1,-1,-1
-1,0,-1,-1,-1,-1,3r,-1,-1,-1,-1,-1,4u,-1,-1,-1,2d
-1,-1,0,-1,-1,7r,-1,-1,-1,-1,-1,4u,-1,-1,-1,3d,-1
2r,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1l,-1
-1,-1,-1,-1,0,-1,-1,-1,8l,-1,-1,-1,1r,-1,-1,-1,-1
-1,-1,7l,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0.5r,-1,-1,-1
-1,3l,-1,-1,-1,-1,0,-1,-1,-1,6r,-1,-1,-1,-1,-1,-1
3l,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1r
-1,-1,-1,-1,8r,-1,-1,-1,0,-1,-1,1l,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,2u,-1,-1
-1,-1,-1,-1,-1,-1,6l,-1,-1,-1,0,-1,-1,-1,2r,-1,-1
-1,-1,4d,-1,-1,-1,-1,-1,1r,-1,-1,0,-1,-1,-1,-1,-1
-1,4d,-1,-1,1l,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
0.5d,-1,-1,-1,-1,0.5l,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,2d,2l,-1,-1,-1,0,-1,-1
-1,-1,3u,1r,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
-1,2u,-1,-1,-1,-1,-1,1l,-1,-1,-1,-1,-1,-1,-1,-1,0
i,i,i,r,r,r,r,r,r,r,r,i,i,i,i,i,i
x,x,x,d,u,u,u,d,u,l,u,x,x,x,x,x,x
